"","path","lag","name","start","parameter","first","second","direction","Estimate","Std_Error","z_value","p_value","Model","Species"
"1","recdevs1 <-> recdevs1",0,"sigmaR1",1,1,"recdevs1","recdevs1","2",0.871691196606144,0.0921864469908655,9.45574132705774,3.20741043371351e-21,"Base","NORK"
"110","NGAO_spring             ->  recdevs1",1,"NGAO_to_R",0,1,"NGAO_spring","recdevs1","1",-1.00905852862662,0.164366607333692,-6.13907255856457,8.30046503336411e-10,"IID","NORK"
"2","GOADI_spring            ->  recdevs1",1,"GOADI_to_R",0,2,"GOADI_spring","recdevs1","1",0.396707717234926,0.305421950759094,1.29888410524833,0.193983705260206,"IID","NORK"
"3","recdevs1 <-> recdevs1",0,"sigmaR1",1,3,"recdevs1","recdevs1","2",5.12717216905914e-05,NA,NA,NA,"IID","NORK"
"4","NGAO_spring <-> NGAO_spring",0,"V[NGAO_spring]",NA,4,"NGAO_spring","NGAO_spring","2",0.978418247216788,0.0816069338807276,11.9894009085894,4.03815112469709e-33,"IID","NORK"
"5","GOADI_spring <-> GOADI_spring",0,"V[GOADI_spring]",NA,5,"GOADI_spring","GOADI_spring","2",0.979232715723108,0.0857584876646538,11.4184932872447,3.38043606977507e-30,"IID","NORK"
"111","GOADI_spring            ->  SST_EGOA_spring",0,"GOADI_to_SST",0,1,"GOADI_spring","SST_EGOA_spring","1",-0.522683378680761,NA,NA,NA,"DSEM","NORK"
"23","GOADI_spring            ->  Neocalanus_winterspring",0,"GOADI_to_Cal",0,2,"GOADI_spring","Neocalanus_winterspring","1",-0.443455708643774,NA,NA,NA,"DSEM","NORK"
"31","GOADI_spring            ->  Upwelling_EGOA_spring",0,"GOADI_to_Up",0,3,"GOADI_spring","Upwelling_EGOA_spring","1",0.425854448746683,NA,NA,NA,"DSEM","NORK"
"41","NGAO_spring             ->  SST_EGOA_spring",0,"NGAO_to_SST",0,4,"NGAO_spring","SST_EGOA_spring","1",0.528121347452527,NA,NA,NA,"DSEM","NORK"
"51","NGAO_spring             ->  Neocalanus_winterspring",0,"NGAO_to_Cal",0,5,"NGAO_spring","Neocalanus_winterspring","1",-0.152192891395164,NA,NA,NA,"DSEM","NORK"
"6","NGAO_spring             ->  Upwelling_EGOA_spring",0,"NGAO_to_Up",0,6,"NGAO_spring","Upwelling_EGOA_spring","1",0.0669412087353361,NA,NA,NA,"DSEM","NORK"
"7","SST_EGOA_spring         ->  Neocalanus_winterspring",0,"SST_to_Cal",0,7,"SST_EGOA_spring","Neocalanus_winterspring","1",-0.245108733402994,NA,NA,NA,"DSEM","NORK"
"8","SST_EGOA_spring         ->  recdevs1",1,"eSST_to_R",0,8,"SST_EGOA_spring","recdevs1","1",0.00349658517326657,NA,NA,NA,"DSEM","NORK"
"9","Upwelling_EGOA_spring   ->  recdevs1",1,"Up_to_R",0,9,"Upwelling_EGOA_spring","recdevs1","1",-0.363991605930056,NA,NA,NA,"DSEM","NORK"
"10","Neocalanus_winterspring ->  recdevs1",1,"Cal_to_R",0,10,"Neocalanus_winterspring","recdevs1","1",0.237753138033382,NA,NA,NA,"DSEM","NORK"
"11","NGAO_spring             ->  recdevs1",1,"NGAO_to_R",0,11,"NGAO_spring","recdevs1","1",-0.394986273721983,NA,NA,NA,"DSEM","NORK"
"12","GOADI_spring            ->  recdevs1",1,"GOADI_to_R",0,12,"GOADI_spring","recdevs1","1",-0.229072901932448,NA,NA,NA,"DSEM","NORK"
"13","NGAO_fall               ->  recdevs1",2,"fallNGAO_to_R",0,13,"NGAO_fall","recdevs1","1",-0.129527757029664,NA,NA,NA,"DSEM","NORK"
"14","GOADI_fall              ->  recdevs1",2,"fallGOADI_to_R",0,14,"GOADI_fall","recdevs1","1",-0.24098148908032,NA,NA,NA,"DSEM","NORK"
"15","recdevs1 <-> recdevs1",0,"sigmaR1",1,15,"recdevs1","recdevs1","2",0.666112348147257,NA,NA,NA,"DSEM","NORK"
"16","NGAO_fall <-> NGAO_fall",0,"V[NGAO_fall]",NA,16,"NGAO_fall","NGAO_fall","2",0.979580486197681,NA,NA,NA,"DSEM","NORK"
"17","GOADI_fall <-> GOADI_fall",0,"V[GOADI_fall]",NA,17,"GOADI_fall","GOADI_fall","2",0.982373058106978,NA,NA,NA,"DSEM","NORK"
"18","NGAO_spring <-> NGAO_spring",0,"V[NGAO_spring]",NA,18,"NGAO_spring","NGAO_spring","2",0.980008743121055,NA,NA,NA,"DSEM","NORK"
"19","GOADI_spring <-> GOADI_spring",0,"V[GOADI_spring]",NA,19,"GOADI_spring","GOADI_spring","2",0.960918230163961,NA,NA,NA,"DSEM","NORK"
"20","Upwelling_EGOA_spring <-> Upwelling_EGOA_spring",0,"V[Upwelling_EGOA_spring]",NA,20,"Upwelling_EGOA_spring","Upwelling_EGOA_spring","2",0.910553463545669,NA,NA,NA,"DSEM","NORK"
"21","SST_EGOA_spring <-> SST_EGOA_spring",0,"V[SST_EGOA_spring]",NA,21,"SST_EGOA_spring","SST_EGOA_spring","2",0.60332672308071,NA,NA,NA,"DSEM","NORK"
"22","Neocalanus_winterspring <-> Neocalanus_winterspring",0,"V[Neocalanus_winterspring]",NA,22,"Neocalanus_winterspring","Neocalanus_winterspring","2",0.882821181780735,NA,NA,NA,"DSEM","NORK"
