"","Species","Model","AIC","dAIC","Beta","SigmaR","ABC_1yr","ABC_2yr"
"1","Cod","Base",6660.28976470456,2.18934811227155,0,1.02308158473789,9266.05677511325,13012.7365291929
"2","Cod","Winter_lagged1_GOADI",6659.81524109983,1.7148245075432,0.0858738246958767,0.990129526820901,9430.01448209092,13188.313284849
"3","Cod","Spring_lagged1_GOADI",6660.04702577336,1.94660918107184,0.0544786734557669,0.992341765087914,9440.44046090157,13208.3971580358
"4","Cod","Summer_lagged1_GOADI",6659.89548084411,1.79506425182171,0.102971900441902,0.990466741983528,9438.17892031365,13190.361705782
"5","Cod","Winter_lagged1_NGAO",6659.54447343309,1.44405684080539,-0.116955450594389,0.987927515730176,9391.88122318608,13161.5714846895
"6","Cod","Spring_lagged1_NGAO",6658.40719420492,0.306777612632686,-0.200798685829269,0.979646305016217,9364.81099212324,13178.0470607859
"7","Cod","Summer_lagged1_NGAO",6658.10041659228,0,-0.207954445621331,0.977438787344004,9324.91628121861,13158.5839502387
"8","Pollock","Base",1450.80753970748,2.83442293647477,0,1.01758166246257,172261.974870045,136949.888951362
"9","Pollock","Winter_lagged1_GOADI",1447.973116771,0,0.271617082407574,0.99640345574849,172808.036182321,133391.407034868
"10","Pollock","Spring_lagged1_GOADI",1450.19885597844,2.22573920743639,0.164750308311661,1.01303222505451,172893.620778437,136339.1340223
"11","Pollock","Summer_lagged1_GOADI",1449.67220783474,1.69909106373302,0.235704423693214,1.00876275721138,172243.786082863,134724.961796393
"12","Pollock","Winter_lagged1_NGAO",1450.72111697292,2.74800020191947,-0.0479971489324614,1.01707333147452,172225.210425011,137243.06096198
"13","Pollock","Spring_lagged1_NGAO",1448.90573742818,0.932620657179314,-0.21922695156127,1.00416744864869,172746.161553135,142717.301285784
"14","Pollock","Summer_lagged1_NGAO",1449.19879645019,1.22567967918803,-0.191947324718611,1.00592919339639,172916.278788386,144294.539137319
"15","ATF","Base",1185.97276626839,305.19666413984,0,1.80340862912725,203216.065951355,120040.327490428
"16","ATF","Winter_lagged1_GOADI",928.934772424244,48.1586702956901,0.36493655794511,1.85383180482077,148590.620097065,117178.942849845
"17","ATF","Spring_lagged1_GOADI",1157.55111578486,276.775013656311,0.407611255933375,1.76988644198928,205161.004411619,118549.457361086
"18","ATF","Summer_lagged1_GOADI",1276.49841560245,395.722313473901,0.509917348531292,1.7854401891331,233098.470638053,113896.307367241
"19","ATF","Winter_lagged1_NGAO",899.524036394147,18.7479342655932,0.0241111926817601,1.94434235760952,136018.707433944,110090.247321915
"20","ATF","Spring_lagged1_NGAO",990.995644613929,110.219542485375,-0.0521397652039954,1.86059057457091,131231.904589871,102018.894674448
"21","ATF","Summer_lagged1_NGAO",880.776102128554,0,-0.029329580102556,1.68273691838957,141886.727066556,113331.807563182
"22","Northern rock fish","Base",70734.7017738333,65034.7909196279,0,1.31254827375339,0,0
"23","Northern rock fish","Winter_lagged1_GOADI",6155.09218958735,455.181335381913,-0.0799924549260121,2.35140495961956,283.096444153796,260.819132541429
"24","Northern rock fish","Spring_lagged1_GOADI",70720.0683288499,65020.1574746445,-0.0650363623253437,1.31159236732269,0,0
"25","Northern rock fish","Summer_lagged1_GOADI",7384.1686450225,1684.25779081706,-0.396973489590713,2.75563055043793,6.0145061369323,3.82855117761256
"26","Northern rock fish","Winter_lagged1_NGAO",5816.32883638538,116.417982179939,-0.457970946421572,1.38249370182353,681.168969377673,634.714430595273
"27","Northern rock fish","Spring_lagged1_NGAO",5699.91085420544,0,-0.509858650343022,1.213344315355,1471.89690638409,1355.86208057955
"28","Northern rock fish","Summer_lagged1_NGAO",73511.4015315429,67811.4906773375,0.319336000861537,1.28678890312478,0,0
